"","OBJECTID","CSA2010","pop","poverty","total","homicide_rate"
"1",1,"Allendale/Irvington/S. Hilton",16217,21.28264805,5,30.8318431275822
"2",2,"Beechfield/Ten Hills/West Hills",12264,11.58984636,4,32.6157860404436
"3",3,"Belair-Edison",17416,19.59215281,5,28.7092328892972
"4",4,"Brooklyn/Curtis Bay/Hawkins Point",14243,26.3337469,11,77.2309204521519
"5",5,"Canton",8100,2.260273973,0,0
"6",6,"Cedonia/Frankford",23557,15.10777521,3,12.7350681326145
"7",7,"Cherry Hill",8202,41.05090312,10,121.921482565228
"8",8,"Chinquapin Park/Belvedere",7756,10.16324381,1,12.8932439401753
"9",9,"Claremont/Armistead",8231,23.58634743,2,24.2983841574535
"10",10,"Clifton-Berea",9874,29.24208145,12,121.531294308284
"11",11,"Cross-Country/Cheswolde",13034,7.147862649,0,0
"12",12,"Dickeyville/Franklintown",4101,17.69547325,1,24.3842965130456
"13",13,"Dorchester/Ashburton",11786,15.35493827,4,33.9385711861531
"14",14,"Downtown/Seton Hill",6446,7.086614173,6,93.0809804529941
"15",15,"Edmondson Village",7900,11.05743425,4,50.6329113924051
"16",16,"Fells Point",9039,3.791174643,0,0
"17",17,"Forest Park/Walbrook",9849,18.94293732,6,60.9198903441974
"18",18,"Glen-Fallstaff",14914,20.2957379,3,20.1153278798444
"19",19,"Greater Charles Village/Barclay",16391,25.95462092,12,73.2109084253554
"20",20,"Greater Govans",10681,19.2692475,9,84.2617732422058
"21",21,"Greater Mondawmin",9322,17.17226436,5,53.6365586783952
"22",22,"Greater Roland Park/Poplar Hill",7377,3.634361233,0,0
"23",23,"Greater Rosemont",19259,23.89354932,18,93.4627966145698
"24",24,"Hamilton",13002,10.9202454,0,0
"25",25,"Harford/Echodale",16839,8.983384962,3,17.8157847853198
"26",26,"Highlandtown",7250,9.009009009,0,0
"27",27,"Howard Park/West Arlington",10873,17.42254154,7,64.3796560286949
"28",28,"Inner Harbor/Federal Hill",12855,2.745256359,0,0
"29",29,"Lauraville",12273,9.670637701,3,24.443901246639
"30",30,"Loch Raven",15311,11.56113817,1,6.53125204101626
"31",31,"Madison/East End",7781,32.37410072,11,141.370003855546
"32",32,"Medfield/Hampden/Woodberry/Remington",17388,7.394156231,2,11.5021854152289
"33",33,"Midway/Coldstream",9624,23.63737486,10,103.906899418121
"34",34,"Morrell Park/Violetville",8964,14.52879581,2,22.3114680946006
"35",35,"Mount Washington/Coldspring",5168,3.789836348,0,0
"36",36,"North Baltimore/Guilford/Homeland",17464,5.725567621,0,0
"37",37,"Northwood",16643,7.604448452,2,12.0170642312083
"38",38,"Orangeville/East Highlandtown",9131,13.68267831,4,43.8068119592597
"39",39,"Patterson Park North & East",14549,22.83290299,2,13.7466492542443
"40",40,"Penn North/Reservoir Hill",9668,29.42453855,5,51.7170045510964
"41",41,"Pimlico/Arlington/Hilltop",11816,19,10,84.6310088016249
"42",42,"Poppleton/The Terraces/Hollins Market",5086,47.65458422,3,58.9854502556036
"43",43,"Sandtown-Winchester/Harlem Park",14896,31.82289865,15,100.698174006445
"44",44,"South Baltimore",6406,0.811907984,0,0
"45",45,"Southeastern",6260,29.4488189,2,31.9488817891374
"46",46,"Southern Park Heights",13284,34.87052146,18,135.50135501355
"47",47,"Southwest Baltimore",17885,36.01598174,16,89.4604417109309
"48",48,"The Waverlies",7753,18.34034877,1,12.8982329420869
"49",49,"Washington Village/Pigtown",5503,24.78873239,3,54.5157186988915
"50",50,"Westport/Mount Winans/Lakeland",7119,19.85018727,5,70.2345835089198
"51",51,"Oldtown/Middle East",10021,42.5,6,59.8742640455044
"52",52,"Harbor East/Little Italy",5407,31.06134372,1,18.4945441094877
"53",53,"Upton/Druid Heights",10342,44.15,8,77.35447689035
"54",54,"Midtown",15020,8.064516129,4,26.6311584553928
"55",55,"Greenmount East",8184,24.18006431,7,85.5327468230694
